Horodateur;Année d'obtention de votre diplôme d'ambulancier;Département de formation ;Quel est le type d'activité de votre entreprise ? (Plusieurs réponses possibles);Quel est le secteur d'activité de votre entreprise ?;Combien d'ADE/CCA sont employés par votre entreprise;Combien d'auxiliaires sont employés par votre entreprise;Disposez-vous d'un jeu de tenues professionnelles identifiées :  Nom de l'entreprise ?;;De quelle couleur sont-elles ?;Avez-vous des protocoles d'hygiène dans votre entreprise ? ;;Si oui, sont-ils en adéquation avec l'enseignement réalisé à l'IFA ? ;Concernant le rythme de décontamination du matériel et du véhicule sanitaire,  réalisez-vous :;;Disposez-vous d'un lecteur de glycémie, appareil Dextro ?;;;;;Disposez-vous d'appareils permettant la réalisation d'électro-cardiogramme  (ECG) ? ;;;Disposez-vous de matériel pour réaliser des aspirations trachéales (dans la trachée, la canule de trachéotomie) ?;;;Vous disposez dans votre véhicule : (plusieurs réponses possibles);Lorsqu'un patient est à bord du véhicule sanitaire est-ce l'auxilaire qui conduit : ;;Lors d'une intervention, la suite de la prise en charge nécessite la pose d'une voie veineuse périphérique;;Lors d'une prise en charge d'un patient à domicile  il vous manque des informations pour la prise en charge de votre patient, hors celui-ci est porteur d'un courrier remis par son médecin traitant pour le service d'accueil .;Lors d'une admission, vous occupez-vous de l'entrée administrative de votre patient ( vous ou votre binôme ) ? ;;Dans les établissements de santé existe-t-il un guichet avec accès prioritaire ambulancier pour réaliser les démarches administratives de l'admission;;;;;;Lors d'un transfert, vous prenez en charge un patient porteur d'un pousse-seringue éléctrique;;
date;diplôme;dept;activite;Zone;ADE;Aux;tenues;T2;couleur;protocole;observance;cohérence;rythme;frequence;lecteur;L2;L3;prescripteur;quand j estime que ca le merite;ecg;ecg1;ecg2;aspirations;asp1;asp2;immobilisation;conducteur;cond2;vvp;vvp2;lettre;admission;Admission 1;Admission 2;;;;;;Transfert;;
04/10/2013 14:35;2013;67;VSL,  ASSU;Zone rurale et urbaine;7;0;Oui;Oui;Blanches;Oui;Toujours;Oui;Oui;Toutes les semaines ;;Non;Oui;De façon spontanée dans certaines situations ;malaises, diabétique connu;Oui;Oui de manière autonome;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Jamais;Jamais;Oui;Vous préparez la perfusion avec sa tubulure et purgez le dispositif ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Non;;Jamais;;;;;;Oui;Votre entreprise ;
04/10/2013 14:37;2011;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;17;25;Oui;Oui;Blanc et Bleu;Oui;Toujours;Non;Oui;Toutes les semaines ;Oui;Non;Oui;De façon spontanée régulièrement ;toutes interventions samu;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Jamais;;;;;;Oui;stage en sspi;
04/10/2013 14:40;2011;67;Ambulance de catégorie C;Zone rurale et urbaine;3;2;Oui;Oui;Bleu marine et Blanche;Oui;Toujours;Oui;Oui;Tous les jours;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR;Si besoin sur demande du medecin généralement;Non;;Oui;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;;Non;;On contacte le prescripteur du transport ou le service d'accueil du patient pour demander l'autorisation;Oui;Les deux ;Jamais;;;;;;Oui;Votre IFA;
04/10/2013 15:18;2011;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;25;30;Oui;Oui;bleu;Oui;Toujours;Oui;Oui;Tous les jours, Toutes les semaines , tous les mois ;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR, De façon spontanée dans certaines situations ;Selon les symptomes;Oui;Oui sous contrôle d'un médecin ou d'un infirmier;Oui;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Toujours;Toujours;Oui;Vous rassemblez l'ensemble du matériel nécessaire ;On a pas le droit de l'ouvrir mais il me paraît judiceux de l'ouvrir pour s'avoir comment traiter le patient;Oui;;Parfois;;;;;;Non;;
04/10/2013 15:20;2013;38;VSL, Ambulance de catégorie C;Zone rurale;4;3;Oui;Non;BLEUES;Oui;Toujours;Oui;Oui;Toutes les semaines ;Oui;Oui;Non;;;Non;;Non;Oui;Non;Oui;Matelas immobilisateur à dépression : matelas coquille;Parfois;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;C H U;
04/10/2013 15:37;2008;67;Ambulance de catégorie C;Zone rurale et urbaine;2;2;Oui;Oui;Bleu et blanc;Oui;Toujours;Oui;Oui;Tous les jours;Non;Oui;Non;;;Non;;Oui;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Oui;Vous rassemblez l'ensemble du matériel nécessaire ;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;
04/10/2013 15:37;2012;67;Ambulance de catégorie C;Zone urbaine;2;2;Oui;Oui;Bleu ou blanc;Oui;Parfois;Oui;Non;Tous les jours;Non;Oui;Non;;;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Jamais;;;;;;Non;;
04/10/2013 16:05;2012;38; ASSU, Ambulance de catégorie C;Zone rurale et urbaine;3;0;Oui;Oui;Bleues et blanches;Oui;Toujours;Oui;Oui;tous les mois ;Oui;Oui;Non;;;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;
04/10/2013 16:28;2012;67; ASSU, Ambulance de catégorie C;Zone rurale et urbaine;7;3;Oui;Oui;bleu et jaune;Oui;Toujours;Oui;Oui;Tous les jours, Toutes les semaines , tous les mois ;Oui;Oui;Oui;De façon spontanée dans certaines situations ;en assu  seulement;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Uniquement lors d'une entrée en service d'urgence;Parfois;;;;;;Non;;
04/10/2013 17:19;2013;21;VSL,  ASSU, Ambulance de catégorie C;Zone urbaine;20;5;Oui;Oui;bleues;Oui;Parfois;Oui;Non;Tous les jours;Oui;Non;Oui;De façon spontanée dans certaines situations ;Malaise;Non;Non;Non;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;autodidacte;
04/10/2013 17:34;2012;21;VSL, Ambulance de catégorie C;Zone urbaine;3;2;Oui;Oui;bleu et blanc;Non;;;Non;Toutes les semaines ;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR;;Non;;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;
04/10/2013 17:40;2011;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;8;7;Oui;Oui;Blanches;Oui;Toujours;Oui;Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée dans certaines situations ;Malaises, chutes inexpliquées, diabète avéré, inconscient, alcoolémie;Non;;Oui;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;
04/10/2013 18:16;2013;21;VSL,  ASSU;Zone rurale et urbaine;7;2;Oui;Oui;Blanc et Bleu;Oui;Toujours;Non;Non;Tous les jours, Toutes les semaines ;Non;Non;Non;;;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;Appel 15;Vous appelez le Centre 15 pour demander l'autorisation d'ouvrir le courrier  ;Oui;Les deux ;Parfois;;;;;;Oui;Votre entreprise ;
04/10/2013 18:21;2013;69;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;8;6;Oui;Oui;Bleu et blanche;Oui;Toujours;Oui;Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée dans certaines situations ;Selon les antécédents du patient ou ses symptomes.;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Oui;Vous rassemblez l'ensemble du matériel nécessaire ;Si le médecin est parti je l'appelle directement et lui explique que je suis soumis au secret professionnel et que pour une bonne prise en charge je voudrai avoir accès a des infos complementaires, se trouvant soit dans le courrier soit transmise a l'oral. ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;
04/10/2013 18:31;2012;21;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;20;20;Oui;Oui;bleue marine;Non;Parfois;;Oui;Tous les jours;Oui;Non;Oui;De façon spontanée dans certaines situations ;diabete type 2;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;croix rouge perso;
04/10/2013 18:34;2013;69;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;13;4;Oui;Oui;Bleu et blanche;Oui;Toujours;Oui;Oui;Tous les jours;Oui;Oui;Non;;;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous n'ouvrez pas le courrier;Oui;Les deux ;Parfois;;;;;;Non;Votre entreprise ;
04/10/2013 18:47;2013;38;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;14;12;Oui;Oui;bas blanc et haut bleu;Oui;Toujours;Oui;Oui;Toutes les semaines ;Non;Oui;Non;;;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;
04/10/2013 18:58;2011;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;15;20;Oui;Oui;Blanche ;Oui;Parfois;Oui;Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée régulièrement ;Pour quasiment chaque bilan fait au médecin régulateur j'utilise le lecteur de glycémie ;Non;Non;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Jamais;;;;;;Non;;
04/10/2013 19:02;2012;38;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;6;5;Oui;Oui;bleu et blanc;Oui;Toujours;Non;Oui;Tous les jours;Non;Oui;Non;;;Non;;Oui;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;
04/10/2013 19:02;2012;38;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;6;5;Oui;Oui;bleu et blanc;Oui;Toujours;Non;Oui;Tous les jours;Non;Oui;Non;;;Non;;Oui;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;
04/10/2013 19:04;2012;69;Ambulance de catégorie C;Zone rurale et urbaine;4;1;Non;;blanc et bleu;Oui;Parfois;Non;Oui;Tous les jours;Non;Oui;Non;;;Non;Non;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;;Non;;Vous appelez le Centre 15 pour demander l'autorisation d'ouvrir le courrier  ;Oui;Les deux ;Parfois;;;;;;Non;;
04/10/2013 19:12;2008;67;VSL, Ambulance de catégorie C;Zone rurale;2;6;Oui;Oui;bleu;Oui;Toujours;Non;Oui;tous les mois ;Oui;Oui;Oui;De façon spontanée dans certaines situations ;en cas de besoin;Non;Non;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;
04/10/2013 19:28;2012;38;VSL, Ambulance de catégorie C;Zone rurale et urbaine;3;1;Oui;Oui;bleu et blanc;Oui;Toujours;Oui;Oui;Tous les jours;Oui;Non;Oui;De façon spontanée régulièrement , Sur demande d'un médecin, d'un infirmier ou du SMUR;garde préfectoral;Non;;Non;Oui;Non;Oui;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Oui;poser la perf sur demande du médecin regulateur . je suis aussi infirmière .;Vous appelez le Centre 15 pour demander l'autorisation d'ouvrir le courrier  ;Oui;Les deux ;Parfois;;;;;;Oui;ifsi de chambery;
04/10/2013 19:39;2009;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;4;12;Oui;Oui;bleu et blanc;Non;;;Oui;Tous les jours;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR;;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre entreprise ;
04/10/2013 19:44;2012;67;VSL, Ambulance de catégorie C;Zone rurale et urbaine;5;6;Oui;Oui;Bleu;Non;;;Non;Toutes les semaines ;Oui;Oui;Oui;De façon spontanée dans certaines situations ;Malaises, personnes diabétiques.;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;;Non;;La pmt doit indiquer les directives concernant le transport du patient, en cas de doute sur son état et comme je ne dispose pas d'une formation de soignant (une décompensation cardiaque, je ne sais pas ce que c'est) j'appelle le médecin ou le 15 mais je n'ouvre le courrier que sur demande du 15.;Oui;Les deux ;Parfois;;;;;;Non;;
04/10/2013 19:49;2013;67;Ambulance de catégorie C;Zone rurale;6;4;Oui;Oui;BLEUE;Oui;Toujours;Oui;Oui;Tous les jours;Non;Oui;Non;;;Non;Non;Oui;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;
04/10/2013 20:33;2012;38;VSL, Ambulance de catégorie C;Zone rurale;5;1;Oui;Oui;bleu;Oui;Toujours;Oui;Oui;Toutes les semaines ;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR;personne diabetique;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Toujours ;;;;;;Non;;
04/10/2013 20:36;2012;38;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;13;13;Oui;Oui;Blanches;Oui;Parfois;Oui;Non;Tous les jours;Oui;Oui;Oui;De façon spontanée dans certaines situations ;Coup de fatigue de personnes diabetiqu;Non;Non;Non;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;
04/10/2013 20:44;2013;69;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;6;0;Oui;Oui;blanc bleu;Oui;Toujours;Oui;Oui;Toutes les semaines ;Oui;Oui;Oui;De façon spontanée dans certaines situations ;contact biologiques, infections;Non;Non;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Toujours;Toujours;Oui;j'attend la demande du médecin;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;
04/10/2013 20:49;2009;67;VSL, Ambulance de catégorie C;Zone rurale;3;2;Oui;Oui;blanche;Non;;;Oui;Toutes les semaines ;Non;Oui;Non;;;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;
04/10/2013 21:02;2013;21;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;14;6;Oui;Oui;bleu marine et orange;Non;;;Non;Tous les jours;Oui;Non;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR, De façon spontanée dans certaines situations ;somnolence, désorientation;Non;;Non;Oui;Non;Oui;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;;sauf si appel sos med,meilleur pec ;Oui;Les deux ;Parfois;;;;;;Non;;
04/10/2013 21:07;2012;67;Ambulance de catégorie C;Zone urbaine;5;3;Oui;Oui;bleues et jaunes;Oui;Toujours;Oui;Oui;Tous les jours;Non;Oui;Non;;;Non;Non;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Jamais;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Jamais;;;;;;Non;;
04/10/2013 21:28;2008;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;11;12;Oui;Oui;bleu;Oui;Toujours;Non;Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée dans certaines situations ;"malaises ; diabétiques, intoxication ;";;;Non;Non;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non
04/10/2013 21:34;2008;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;11;12;Oui;Oui;bleue;Oui;Toujours;Non;Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée régulièrement ;;Non;Non;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;
04/10/2013 21:47;2012;21;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;21;24;Oui;Oui;blanche;Oui;Parfois;Oui;Non;Toutes les semaines ;Oui;Non;Oui;De façon spontanée dans certaines situations ;;Non;Non;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;
04/10/2013 22:08;2012;21;VSL,  ASSU, Ambulance de catégorie C;Zone rurale;12;5;Oui;Oui;BLEU MARINE;Oui;Toujours;Oui;Oui;Tous les jours;Oui;Oui;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR;;Non;;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous n'ouvrez pas le courrier;Oui;Les deux ;Toujours ;;;;;;Oui;Votre entreprise ;
04/10/2013 23:14;2013;38;VSL,  ASSU;Zone rurale et urbaine;9;4;Oui;Oui;bleu;Oui;Toujours;Oui;Oui;Tous les jours;Non;Oui;Non;;;Non;Non;Oui;Non;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre entreprise ;
05/10/2013 00:45;2012;21;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;40;15;Oui;Oui;Bleue;Oui;Toujours;Oui;Non;Tous les jours, Toutes les semaines ;Oui;Non;Oui;Sur demande d'un médecin, d'un infirmier ou du SMUR, De façon spontanée dans certaines situations ;agitation, sueurs, toutes les situations permettant à un médecin régulateur de faire un diagnostic différentiel entre un avc et hypoglycémie.;Non;;Non;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;
05/10/2013 01:00;2013;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;60;60;Oui;Non;blanche;Oui;Toujours;Oui;Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée régulièrement ;;Non;Non;Oui;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;
05/10/2013 06:00;2012;67;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;5;9;Oui;Oui;Bleu marine / blanc;Oui;Toujours;Oui;Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée régulièrement ;Malaises, chutes, OH, diabétique, patients atteint d'un cancer, TS;Non;Non;Non;Oui;Oui;Oui;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Smur;
05/10/2013 07:16;2013;69;VSL,  ASSU, Ambulance de catégorie C;Zone rurale et urbaine;10;10;Oui;Oui;bleu et jaune fluo ou blanc ;Oui;Toujours;Oui;Oui;Tous les jours, Toutes les semaines ;Oui;Non;Non;;le patient lui même...;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;
05/10/2013 08:07;2011;67;VSL,  ASSU, Ambulance de catégorie C;Zone urbaine;40;40;Oui;Oui;Pantalon bleu polo blanc;Oui;Toujours;Oui;Oui;Tous les jours;Oui;Oui;Oui;De façon spontanée dans certaines situations ;Malaise, diabétique, personne somnolente ou OH;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Parfois;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;
05/10/2013 09:22;2009;67;Ambulance de catégorie C;Zone rurale et urbaine;11;2;Oui;Oui;bleu;Oui;Parfois;Oui;Non;Tous les jours;Non;Oui;Non;;;Non;;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;
05/10/2013 09:34;2012;67; ASSU;Zone urbaine;15;0;Oui;Oui;Bleu;Oui;Toujours;Non;Oui;Tous les jours;Non;Oui;Non;;;Non;Non;Oui;Non;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Jamais;Jamais;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Samu 75;
05/10/2013 09:50;2013;38;VSL, Ambulance de catégorie C;Zone rurale;4;3;Oui;Oui;Bleu;Oui;Toujours;Oui;Non;Toutes les semaines ;Non;Oui;Non;;;Non;;Non;Oui;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Parfois;;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Toujours ;;;;;;Oui;Votre IFA;
05/10/2013 10:06;2013;38;VSL,  ASSU;Zone rurale et urbaine;8;10;Oui;Oui;bleu;Oui;Toujours;Oui;Oui;Tous les jours;Oui;Oui;Non;;;Non;;Non;Non;Oui;Non;Matelas immobilisateur à dépression : matelas coquille;Toujours;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Oui;Votre IFA;
05/10/2013 10:40;2012;21;VSL,  ASSU, Ambulance de catégorie C;Zone urbaine;22;27;Oui;Oui;Blanches;Oui;Toujours;Oui;Oui;Tous les jours;Oui;Non;Oui;De façon spontanée dans certaines situations ;Patient présentant des troubles neurologiques, patient victime d'un malaise.;Non;;Non;Oui;Non;Non;Matelas immobilisateur à dépression : matelas coquille, Planche à immobilisation type : Baxtrap ;Parfois;Toujours;Non;;Vous ouvrez le courrier pour rechercher les informations nécessaires ;Oui;Les deux ;Parfois;;;;;;Non;;
